Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
01.09.2025 22:00;01.09.2025 22:15;12.488,50;12.503,50;15,00;10.730,75
01.09.2025 22:15;01.09.2025 22:30;12.254,00;12.320,00;66,00;10.389,00
01.09.2025 22:30;01.09.2025 22:45;12.077,50;12.261,00;183,50;10.162,25
01.09.2025 22:45;01.09.2025 23:00;11.943,00;12.142,25;199,25;10.023,25
01.09.2025 23:00;01.09.2025 23:15;11.703,50;11.890,25;186,75;9.767,75
01.09.2025 23:15;01.09.2025 23:30;11.537,50;11.734,50;197,00;9.581,75
01.09.2025 23:30;01.09.2025 23:45;11.373,25;11.608,00;234,75;9.375,25
01.09.2025 23:45;02.09.2025 00:00;11.211,75;11.514,00;302,25;9.188,00
02.09.2025 00:00;02.09.2025 00:15;11.136,50;11.333,25;196,75;9.088,75
02.09.2025 00:15;02.09.2025 00:30;11.092,50;11.282,00;189,50;9.051,25
02.09.2025 00:30;02.09.2025 00:45;11.067,25;11.362,25;295,00;9.024,00
02.09.2025 00:45;02.09.2025 01:00;10.960,00;11.268,75;308,75;8.924,50
02.09.2025 01:00;02.09.2025 01:15;10.858,25;11.284,50;426,25;8.861,75
02.09.2025 01:15;02.09.2025 01:30;10.757,25;11.134,25;377,00;8.831,25
02.09.2025 01:30;02.09.2025 01:45;10.689,50;11.133,50;444,00;8.786,25
02.09.2025 01:45;02.09.2025 02:00;10.681,75;11.172,00;490,25;8.814,75
02.09.2025 02:00;02.09.2025 02:15;10.561,75;11.181,75;620,00;8.759,00
02.09.2025 02:15;02.09.2025 02:30;10.519,50;11.117,25;597,75;8.773,50
02.09.2025 02:30;02.09.2025 02:45;10.419,50;11.056,50;637,00;8.731,00
02.09.2025 02:45;02.09.2025 03:00;10.440,25;11.006,25;566,00;8.733,25
02.09.2025 03:00;02.09.2025 03:15;10.502,75;11.111,00;608,25;8.823,75
02.09.2025 03:15;02.09.2025 03:30;10.496,25;11.062,50;566,25;8.860,75
02.09.2025 03:30;02.09.2025 03:45;10.514,00;11.094,25;580,25;8.878,50
02.09.2025 03:45;02.09.2025 04:00;10.544,00;11.110,00;566,00;8.939,00
02.09.2025 04:00;02.09.2025 04:15;10.622,50;11.116,50;494,00;9.012,25
02.09.2025 04:15;02.09.2025 04:30;10.745,00;11.235,25;490,25;9.151,75
02.09.2025 04:30;02.09.2025 04:45;10.840,25;11.240,00;399,75;9.245,25
02.09.2025 04:45;02.09.2025 05:00;10.958,50;11.295,75;337,25;9.369,25
02.09.2025 05:00;02.09.2025 05:15;11.228,00;11.336,25;108,25;9.615,00
02.09.2025 05:15;02.09.2025 05:30;11.379,25;11.425,75;46,50;9.756,00
02.09.2025 05:30;02.09.2025 05:45;11.725,00;11.775,75;50,75;10.113,75
02.09.2025 05:45;02.09.2025 06:00;12.086,75;12.097,75;11,00;10.454,25
02.09.2025 06:00;02.09.2025 06:15;12.750,25;12.755,00;4,75;11.115,75
02.09.2025 06:15;02.09.2025 06:30;13.154,00;13.155,75;1,75;11.503,25
02.09.2025 06:30;02.09.2025 06:45;13.344,50;13.345,50;1,00;11.647,00
02.09.2025 06:45;02.09.2025 07:00;13.553,00;13.553,50;0,50;11.696,25
02.09.2025 07:00;02.09.2025 07:15;13.817,50;13.818,00;0,50;11.819,50
02.09.2025 07:15;02.09.2025 07:30;14.045,00;14.045,50;0,50;11.916,25
02.09.2025 07:30;02.09.2025 07:45;14.250,00;14.250,50;0,50;11.898,75
02.09.2025 07:45;02.09.2025 08:00;14.456,25;14.456,75;0,50;11.856,00
02.09.2025 08:00;02.09.2025 08:15;14.703,50;14.704,25;0,75;11.862,25
02.09.2025 08:15;02.09.2025 08:30;14.975,75;14.977,75;2,00;11.858,00
02.09.2025 08:30;02.09.2025 08:45;15.218,00;15.221,00;3,00;11.821,25
02.09.2025 08:45;02.09.2025 09:00;15.343,50;15.346,50;3,00;11.577,00
02.09.2025 09:00;02.09.2025 09:15;15.267,75;15.271,75;4,00;11.132,50
02.09.2025 09:15;02.09.2025 09:30;15.394,75;15.450,25;55,50;10.861,25
02.09.2025 09:30;02.09.2025 09:45;15.474,25;15.656,00;181,75;10.554,00
02.09.2025 09:45;02.09.2025 10:00;15.543,75;15.823,25;279,50;10.197,00
02.09.2025 10:00;02.09.2025 10:15;15.448,25;15.524,00;75,75;9.617,00
02.09.2025 10:15;02.09.2025 10:30;15.505,50;15.631,25;125,75;9.199,25
02.09.2025 10:30;02.09.2025 10:45;15.612,25;15.844,75;232,50;8.816,25
02.09.2025 10:45;02.09.2025 11:00;15.701,00;16.003,75;302,75;8.504,25
02.09.2025 11:00;02.09.2025 11:15;15.801,50;16.199,75;398,25;8.192,75
02.09.2025 11:15;02.09.2025 11:30;15.690,50;16.077,50;387,00;7.654,75
02.09.2025 11:30;02.09.2025 11:45;15.752,00;16.281,75;529,75;7.397,50
02.09.2025 11:45;02.09.2025 12:00;15.721,75;16.165,75;444,00;6.971,25
02.09.2025 12:00;02.09.2025 12:15;15.526,75;16.024,25;497,50;6.478,75
02.09.2025 12:15;02.09.2025 12:30;15.309,25;16.027,50;718,25;6.030,50
02.09.2025 12:30;02.09.2025 12:45;15.421,75;16.180,50;758,75;6.004,00
02.09.2025 12:45;02.09.2025 13:00;15.355,75;16.120,00;764,25;5.861,75
02.09.2025 13:00;02.09.2025 13:15;15.204,25;15.969,50;765,25;5.566,25
02.09.2025 13:15;02.09.2025 13:30;15.171,50;15.918,25;746,75;5.470,75
