Datum von;Datum bis;Biomasse [MWh] Originalauflösungen;Wasserkraft [MWh] Originalauflösungen;Wind Offshore [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen;Sonstige Erneuerbare [MWh] Originalauflösungen;Kernenergie [MWh] Originalauflösungen;Braunkohle [MWh] Originalauflösungen;Steinkohle [MWh] Originalauflösungen;Erdgas [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Sonstige Konventionelle [MWh] Originalauflösungen
30.08.2025 00:30;30.08.2025 00:45;941,75;584,75;432,75;2.684,25;0,00;24,75;-;1.756,00;400,25;1.139,00;98,50;354,50
30.08.2025 00:45;30.08.2025 01:00;942,50;559,75;443,50;2.662,50;0,00;24,75;-;1.768,25;365,00;1.142,75;55,25;349,25
30.08.2025 01:00;30.08.2025 01:15;941,25;597,00;460,25;2.627,00;0,00;24,75;-;1.791,00;329,00;1.153,50;52,00;346,50
30.08.2025 01:15;30.08.2025 01:30;941,25;565,00;487,00;2.591,25;0,00;24,75;-;1.816,50;293,50;1.110,00;36,75;346,00
30.08.2025 01:30;30.08.2025 01:45;941,75;554,50;514,25;2.620,75;0,00;24,75;-;1.828,00;287,75;1.086,25;51,00;344,50
30.08.2025 01:45;30.08.2025 02:00;939,50;558,75;518,00;2.619,00;0,00;24,75;-;1.831,00;260,50;1.065,00;53,75;345,75
30.08.2025 02:00;30.08.2025 02:15;939,75;552,50;529,75;2.584,75;0,00;24,75;-;1.836,50;208,00;992,00;49,00;344,25
30.08.2025 02:15;30.08.2025 02:30;939,25;554,25;550,75;2.576,25;0,00;23,50;-;1.840,00;205,50;896,75;30,25;343,75
30.08.2025 02:30;30.08.2025 02:45;940,00;536,00;579,00;2.529,75;0,00;23,50;-;1.844,25;206,00;852,75;20,50;346,50
30.08.2025 02:45;30.08.2025 03:00;935,75;538,25;598,00;2.454,75;0,00;23,50;-;1.838,75;207,00;838,75;30,50;348,25
30.08.2025 03:00;30.08.2025 03:15;935,75;542,25;610,25;2.410,25;0,00;23,50;-;1.845,00;207,50;836,75;23,50;348,75
30.08.2025 03:15;30.08.2025 03:30;935,75;545,00;609,50;2.383,75;0,00;24,25;-;1.842,00;210,25;839,00;54,25;355,00
30.08.2025 03:30;30.08.2025 03:45;936,50;580,25;597,50;2.353,00;0,00;24,25;-;1.836,50;210,75;860,75;103,25;355,25
30.08.2025 03:45;30.08.2025 04:00;932,00;533,25;611,25;2.332,00;0,00;24,25;-;1.843,25;213,25;862,75;36,75;353,25
30.08.2025 04:00;30.08.2025 04:15;934,75;553,25;597,75;2.304,75;0,00;24,25;-;1.840,00;217,25;864,00;69,00;350,50
30.08.2025 04:15;30.08.2025 04:30;932,25;536,25;572,75;2.249,50;0,00;24,25;-;1.835,00;211,25;850,50;59,25;354,75
30.08.2025 04:30;30.08.2025 04:45;927,75;557,50;561,50;2.192,50;0,00;24,25;-;1.842,50;209,75;856,50;72,50;356,25
30.08.2025 04:45;30.08.2025 05:00;919,75;550,50;533,50;2.200,00;0,00;24,25;-;1.850,25;209,50;863,00;70,50;354,00
30.08.2025 05:00;30.08.2025 05:15;921,00;531,50;540,25;2.190,75;0,00;24,25;-;1.856,50;210,50;858,00;57,25;351,25
30.08.2025 05:15;30.08.2025 05:30;923,25;524,00;551,25;2.190,75;0,00;24,25;-;1.856,00;209,50;873,50;53,25;348,25
30.08.2025 05:30;30.08.2025 05:45;927,50;525,50;586,50;2.193,25;0,00;24,25;-;1.853,25;210,50;881,75;43,75;346,50
30.08.2025 05:45;30.08.2025 06:00;923,50;532,50;635,25;2.186,50;0,00;24,25;-;1.826,50;210,50;874,00;55,25;348,75
30.08.2025 06:00;30.08.2025 06:15;929,00;521,50;638,75;2.212,50;0,25;24,25;-;1.804,50;211,50;872,00;22,75;346,50
30.08.2025 06:15;30.08.2025 06:30;930,00;528,50;597,00;2.202,50;1,75;24,25;-;1.784,25;213,50;891,50;52,75;345,75
30.08.2025 06:30;30.08.2025 06:45;931,00;534,00;551,00;2.289,00;18,25;24,25;-;1.765,25;213,50;898,25;71,25;348,50
30.08.2025 06:45;30.08.2025 07:00;927,75;535,50;538,25;2.318,75;98,00;24,25;-;1.717,75;213,25;849,50;86,25;348,50
30.08.2025 07:00;30.08.2025 07:15;929,00;580,25;517,00;2.246,50;250,25;24,25;-;1.699,50;215,50;787,00;182,00;346,00
30.08.2025 07:15;30.08.2025 07:30;927,25;585,75;517,00;2.143,75;466,00;24,25;-;1.693,50;216,50;787,25;240,75;349,00
30.08.2025 07:30;30.08.2025 07:45;925,75;621,00;519,75;2.095,50;732,50;24,25;-;1.695,50;216,50;790,50;140,75;349,00
30.08.2025 07:45;30.08.2025 08:00;921,75;563,25;542,25;2.034,75;1.071,50;24,25;-;1.697,00;215,25;785,75;124,50;352,00
30.08.2025 08:00;30.08.2025 08:15;916,25;646,50;560,75;1.965,50;1.438,00;24,25;-;1.693,25;212,75;766,75;260,25;355,00
30.08.2025 08:15;30.08.2025 08:30;915,75;572,50;556,25;1.874,50;1.842,75;24,25;-;1.701,75;181,75;736,75;227,50;355,50
30.08.2025 08:30;30.08.2025 08:45;915,75;550,25;526,75;1.820,50;2.308,50;24,25;-;1.700,25;155,75;667,00;141,50;358,75
30.08.2025 08:45;30.08.2025 09:00;916,50;554,75;533,25;1.754,75;2.825,50;24,25;-;1.631,00;151,00;637,25;92,00;356,25
30.08.2025 09:00;30.08.2025 09:15;920,25;577,75;556,75;1.712,50;3.368,50;24,25;-;1.556,25;144,00;579,00;142,75;348,50
30.08.2025 09:15;30.08.2025 09:30;923,25;542,75;615,50;1.718,25;3.874,50;24,25;-;1.521,75;127,75;555,00;55,75;345,50
30.08.2025 09:30;30.08.2025 09:45;923,00;527,25;640,00;1.725,50;4.347,75;24,25;-;1.487,00;99,00;539,25;36,75;348,75
30.08.2025 09:45;30.08.2025 10:00;925,25;524,50;661,50;1.713,75;4.832,50;24,25;-;1.429,75;80,25;528,00;22,75;344,75
30.08.2025 10:00;30.08.2025 10:15;921,25;564,75;674,50;1.734,00;5.320,00;24,25;-;1.351,25;79,75;453,50;46,00;332,75
30.08.2025 10:15;30.08.2025 10:30;920,50;557,50;649,25;1.797,25;5.838,25;24,25;-;1.267,00;79,25;450,50;37,25;330,25
30.08.2025 10:30;30.08.2025 10:45;920,50;527,50;609,75;1.839,25;6.461,25;24,25;-;1.180,00;81,00;447,75;1,75;334,00
30.08.2025 10:45;30.08.2025 11:00;923,25;525,50;598,50;1.890,00;7.002,75;24,25;-;1.068,00;78,75;432,00;46,25;333,75
30.08.2025 11:00;30.08.2025 11:15;925,25;547,00;631,75;1.955,75;7.534,50;24,25;-;1.011,50;76,25;403,00;8,50;333,25
30.08.2025 11:15;30.08.2025 11:30;925,00;539,75;648,25;2.027,50;7.897,00;24,25;-;961,75;74,25;397,50;2,75;336,00
30.08.2025 11:30;30.08.2025 11:45;926,00;532,75;626,50;2.066,00;8.280,75;24,25;-;909,25;72,50;394,75;3,50;335,75
30.08.2025 11:45;30.08.2025 12:00;929,25;527,75;616,50;2.136,00;8.602,00;24,25;-;902,00;72,50;395,00;2,25;330,75
30.08.2025 12:00;30.08.2025 12:15;926,75;559,50;567,50;2.231,50;8.854,50;24,25;-;896,25;71,50;380,25;8,75;324,50
30.08.2025 12:15;30.08.2025 12:30;924,00;559,75;504,00;2.280,00;9.007,00;24,25;-;898,00;70,75;382,00;4,25;327,00
30.08.2025 12:30;30.08.2025 12:45;926,25;542,25;535,00;2.323,25;9.147,00;24,25;-;890,25;70,00;381,00;2,25;332,75
30.08.2025 12:45;30.08.2025 13:00;928,75;523,75;569,75;2.367,75;9.179,25;24,25;-;897,50;67,25;380,50;0,50;339,00
30.08.2025 13:00;30.08.2025 13:15;928,50;521,25;632,25;2.430,00;9.150,50;24,25;-;894,00;67,25;379,00;0,50;342,75
30.08.2025 13:15;30.08.2025 13:30;926,25;520,75;664,75;2.421,25;9.014,75;24,25;-;894,75;64,50;379,50;0,50;347,50
30.08.2025 13:30;30.08.2025 13:45;929,25;516,25;668,25;2.514,00;8.966,00;24,25;-;899,50;65,50;379,50;0,25;347,50
30.08.2025 13:45;30.08.2025 14:00;928,00;534,75;580,75;2.458,50;8.871,50;24,25;-;898,25;64,50;379,75;13,50;351,75
30.08.2025 14:00;30.08.2025 14:15;930,25;539,00;522,75;2.411,00;8.749,00;24,25;-;895,75;62,00;386,50;27,25;352,75
30.08.2025 14:15;30.08.2025 14:30;927,50;539,75;561,00;2.393,50;8.609,00;24,25;-;892,00;62,50;387,00;20,00;348,25
30.08.2025 14:30;30.08.2025 14:45;929,00;535,75;553,50;2.404,75;8.418,25;24,25;-;895,75;66,00;388,00;0,50;344,25
30.08.2025 14:45;30.08.2025 15:00;923,00;531,00;568,50;2.407,75;8.321,50;24,25;-;895,75;71,00;386,75;0,50;342,75
30.08.2025 15:00;30.08.2025 15:15;922,75;529,00;400,25;2.276,75;7.929,25;24,25;-;895,25;70,75;389,75;0,50;339,50
30.08.2025 15:15;30.08.2025 15:30;924,25;544,75;371,25;2.209,25;7.575,25;24,25;-;900,25;69,75;389,25;2,25;342,50
30.08.2025 15:30;30.08.2025 15:45;927,25;530,75;375,25;2.266,00;7.407,25;24,25;-;899,75;68,00;389,25;13,25;332,25
30.08.2025 15:45;30.08.2025 16:00;920,50;548,75;368,75;2.261,75;7.119,25;24,25;-;895,25;70,00;389,75;3,25;335,25
30.08.2025 16:00;30.08.2025 16:15;923,25;546,25;314,25;2.236,25;6.939,75;24,25;-;926,75;71,25;404,50;3,00;338,00
30.08.2025 16:15;30.08.2025 16:30;924,00;551,00;324,75;2.198,50;6.615,50;24,25;-;928,50;71,75;404,25;0,50;340,75
30.08.2025 16:30;30.08.2025 16:45;923,50;542,50;314,50;2.132,00;6.333,75;24,25;-;923,75;73,00;411,75;1,75;349,00
30.08.2025 16:45;30.08.2025 17:00;916,75;575,50;286,75;2.103,50;5.931,50;24,25;-;1.064,00;77,75;428,50;42,00;346,00
30.08.2025 17:00;30.08.2025 17:15;920,25;541,00;290,00;2.046,75;5.446,25;23,25;-;1.206,50;111,00;494,50;3,50;358,75
30.08.2025 17:15;30.08.2025 17:30;920,50;584,75;274,25;1.894,75;4.953,00;23,25;-;1.243,00;131,75;536,25;40,75;363,00
30.08.2025 17:30;30.08.2025 17:45;925,50;582,75;255,50;1.730,25;4.403,25;23,25;-;1.277,75;139,00;566,50;62,75;356,75
30.08.2025 17:45;30.08.2025 18:00;924,00;601,00;235,00;1.600,25;3.850,50;23,25;-;1.404,50;155,25;633,25;219,25;353,25
30.08.2025 18:00;30.08.2025 18:15;927,00;527,75;220,00;1.463,00;3.251,50;23,25;-;1.594,00;160,25;791,00;261,25;352,75
30.08.2025 18:15;30.08.2025 18:30;931,50;542,00;217,50;1.377,75;2.650,50;23,25;-;1.705,75;178,00;860,75;432,75;355,00
30.08.2025 18:30;30.08.2025 18:45;936,50;612,50;202,50;1.260,75;2.051,25;23,25;-;1.750,25;201,50;983,00;825,50;360,00
30.08.2025 18:45;30.08.2025 19:00;937,75;620,25;170,00;1.130,50;1.496,50;24,00;-;1.752,75;223,25;1.043,00;1.054,50;355,00
30.08.2025 19:00;30.08.2025 19:15;942,25;607,00;162,00;1.018,00;994,25;24,00;-;1.759,00;236,50;1.200,50;938,75;352,25
