Datum von;Datum bis;Generation_DE GT41 [MW] Berechnete Auflösungen;Generation_DE Block 20 [MW] Berechnete Auflösungen
30.08.2025 13:00;30.08.2025 13:15;-;8,000
30.08.2025 13:15;30.08.2025 13:30;-;8,000
30.08.2025 13:30;30.08.2025 13:45;-;8,000
30.08.2025 13:45;30.08.2025 14:00;-;8,000
30.08.2025 14:00;30.08.2025 14:15;-;7,750
30.08.2025 14:15;30.08.2025 14:30;-;7,750
30.08.2025 14:30;30.08.2025 14:45;-;7,750
30.08.2025 14:45;30.08.2025 15:00;-;7,750
30.08.2025 15:00;30.08.2025 15:15;-;7,500
30.08.2025 15:15;30.08.2025 15:30;-;7,500
30.08.2025 15:30;30.08.2025 15:45;-;7,500
30.08.2025 15:45;30.08.2025 16:00;-;7,500
30.08.2025 16:00;30.08.2025 16:15;-;7,750
30.08.2025 16:15;30.08.2025 16:30;-;7,750
30.08.2025 16:30;30.08.2025 16:45;-;7,750
30.08.2025 16:45;30.08.2025 17:00;-;7,750
30.08.2025 17:00;30.08.2025 17:15;-;8,000
30.08.2025 17:15;30.08.2025 17:30;-;8,000
30.08.2025 17:30;30.08.2025 17:45;-;8,000
30.08.2025 17:45;30.08.2025 18:00;-;8,000
30.08.2025 18:00;30.08.2025 18:15;-;8,250
30.08.2025 18:15;30.08.2025 18:30;-;8,250
30.08.2025 18:30;30.08.2025 18:45;-;8,250
30.08.2025 18:45;30.08.2025 19:00;-;8,250
30.08.2025 19:00;30.08.2025 19:15;-;8,250
30.08.2025 19:15;30.08.2025 19:30;-;8,250
30.08.2025 19:30;30.08.2025 19:45;-;8,250
30.08.2025 19:45;30.08.2025 20:00;-;8,250
30.08.2025 20:00;30.08.2025 20:15;-;8,250
30.08.2025 20:15;30.08.2025 20:30;-;8,250
30.08.2025 20:30;30.08.2025 20:45;-;8,250
30.08.2025 20:45;30.08.2025 21:00;-;8,250
30.08.2025 21:00;30.08.2025 21:15;-;8,500
30.08.2025 21:15;30.08.2025 21:30;-;8,500
30.08.2025 21:30;30.08.2025 21:45;-;8,500
30.08.2025 21:45;30.08.2025 22:00;-;8,500
30.08.2025 22:00;30.08.2025 22:15;-;8,500
30.08.2025 22:15;30.08.2025 22:30;-;8,500
30.08.2025 22:30;30.08.2025 22:45;-;8,500
30.08.2025 22:45;30.08.2025 23:00;-;8,500
30.08.2025 23:00;30.08.2025 23:15;-;8,500
30.08.2025 23:15;30.08.2025 23:30;-;8,500
30.08.2025 23:30;30.08.2025 23:45;-;8,500
30.08.2025 23:45;31.08.2025 00:00;-;8,500
31.08.2025 00:00;31.08.2025 00:15;-;8,500
31.08.2025 00:15;31.08.2025 00:30;-;8,500
31.08.2025 00:30;31.08.2025 00:45;-;8,500
31.08.2025 00:45;31.08.2025 01:00;-;8,500
31.08.2025 01:00;31.08.2025 01:15;-;8,500
31.08.2025 01:15;31.08.2025 01:30;-;8,500
31.08.2025 01:30;31.08.2025 01:45;-;8,500
31.08.2025 01:45;31.08.2025 02:00;-;8,500
