Datum von;Datum bis;Generation_DE Schkopau B [MW] Berechnete Auflösungen;Generation_DE Schkopau A+B Bahngenerator [MW] Berechnete Auflösungen;Generation_DE Schkopau A [MW] Berechnete Auflösungen
29.08.2025 18:15;29.08.2025 18:30;77,750;-;0,000
29.08.2025 18:30;29.08.2025 18:45;77,750;-;0,000
29.08.2025 18:45;29.08.2025 19:00;77,750;-;0,000
29.08.2025 19:00;29.08.2025 19:15;75,250;-;0,000
29.08.2025 19:15;29.08.2025 19:30;75,250;-;0,000
29.08.2025 19:30;29.08.2025 19:45;75,250;-;0,000
29.08.2025 19:45;29.08.2025 20:00;75,250;-;0,000
29.08.2025 20:00;29.08.2025 20:15;75,250;-;0,000
29.08.2025 20:15;29.08.2025 20:30;75,250;-;0,000
29.08.2025 20:30;29.08.2025 20:45;75,250;-;0,000
29.08.2025 20:45;29.08.2025 21:00;75,250;-;0,000
29.08.2025 21:00;29.08.2025 21:15;76,000;-;0,000
29.08.2025 21:15;29.08.2025 21:30;76,000;-;0,000
29.08.2025 21:30;29.08.2025 21:45;76,000;-;0,000
29.08.2025 21:45;29.08.2025 22:00;76,000;-;0,000
29.08.2025 22:00;29.08.2025 22:15;46,500;-;0,000
29.08.2025 22:15;29.08.2025 22:30;46,500;-;0,000
29.08.2025 22:30;29.08.2025 22:45;46,500;-;0,000
29.08.2025 22:45;29.08.2025 23:00;46,500;-;0,000
29.08.2025 23:00;29.08.2025 23:15;41,750;-;0,000
29.08.2025 23:15;29.08.2025 23:30;41,750;-;0,000
29.08.2025 23:30;29.08.2025 23:45;41,750;-;0,000
29.08.2025 23:45;30.08.2025 00:00;41,750;-;0,000
30.08.2025 00:00;30.08.2025 00:15;40,750;-;0,000
30.08.2025 00:15;30.08.2025 00:30;40,750;-;0,000
30.08.2025 00:30;30.08.2025 00:45;40,750;-;0,000
30.08.2025 00:45;30.08.2025 01:00;40,750;-;0,000
30.08.2025 01:00;30.08.2025 01:15;40,250;-;0,000
30.08.2025 01:15;30.08.2025 01:30;40,250;-;0,000
30.08.2025 01:30;30.08.2025 01:45;40,250;-;0,000
30.08.2025 01:45;30.08.2025 02:00;40,250;-;0,000
30.08.2025 02:00;30.08.2025 02:15;40,500;-;0,000
30.08.2025 02:15;30.08.2025 02:30;40,500;-;0,000
30.08.2025 02:30;30.08.2025 02:45;40,500;-;0,000
30.08.2025 02:45;30.08.2025 03:00;40,500;-;0,000
30.08.2025 03:00;30.08.2025 03:15;40,500;-;0,000
30.08.2025 03:15;30.08.2025 03:30;40,500;-;0,000
30.08.2025 03:30;30.08.2025 03:45;40,500;-;0,000
30.08.2025 03:45;30.08.2025 04:00;40,500;-;0,000
30.08.2025 04:00;30.08.2025 04:15;40,250;-;0,000
30.08.2025 04:15;30.08.2025 04:30;40,250;-;0,000
30.08.2025 04:30;30.08.2025 04:45;40,250;-;0,000
30.08.2025 04:45;30.08.2025 05:00;40,250;-;0,000
30.08.2025 05:00;30.08.2025 05:15;40,500;-;0,000
30.08.2025 05:15;30.08.2025 05:30;40,500;-;0,000
30.08.2025 05:30;30.08.2025 05:45;40,500;-;0,000
30.08.2025 05:45;30.08.2025 06:00;40,500;-;0,000
30.08.2025 06:00;30.08.2025 06:15;40,250;-;0,000
30.08.2025 06:15;30.08.2025 06:30;40,250;-;0,000
30.08.2025 06:30;30.08.2025 06:45;40,250;-;0,000
30.08.2025 06:45;30.08.2025 07:00;40,250;-;0,000
30.08.2025 07:00;30.08.2025 07:15;40,750;-;0,000
30.08.2025 07:15;30.08.2025 07:30;40,750;-;0,000
30.08.2025 07:30;30.08.2025 07:45;40,750;-;0,000
30.08.2025 07:45;30.08.2025 08:00;40,750;-;0,000
30.08.2025 08:00;30.08.2025 08:15;47,250;-;0,000
30.08.2025 08:15;30.08.2025 08:30;47,250;-;0,000
30.08.2025 08:30;30.08.2025 08:45;47,250;-;0,000
30.08.2025 08:45;30.08.2025 09:00;47,250;-;0,000
30.08.2025 09:00;30.08.2025 09:15;40,500;-;0,000
30.08.2025 09:15;30.08.2025 09:30;40,500;-;0,000
30.08.2025 09:30;30.08.2025 09:45;40,500;-;0,000
30.08.2025 09:45;30.08.2025 10:00;40,500;-;0,000
