Datum von;Datum bis;Generation_DE A9 [MW] Berechnete Auflösungen;Generation_DE A10 [MW] Berechnete Auflösungen;Generation_DE B9 [MW] Berechnete Auflösungen;Generation_DE B10 [MW] Berechnete Auflösungen
27.08.2025 03:45;27.08.2025 04:00;0,000;-;-;-
27.08.2025 04:00;27.08.2025 04:15;0,000;-;-;-
27.08.2025 04:15;27.08.2025 04:30;0,000;-;-;-
27.08.2025 04:30;27.08.2025 04:45;0,000;-;-;-
27.08.2025 04:45;27.08.2025 05:00;0,000;-;-;-
27.08.2025 05:00;27.08.2025 05:15;0,000;-;-;-
27.08.2025 05:15;27.08.2025 05:30;0,000;-;-;-
27.08.2025 05:30;27.08.2025 05:45;0,000;-;-;-
27.08.2025 05:45;27.08.2025 06:00;0,000;-;-;-
27.08.2025 06:00;27.08.2025 06:15;32,500;-;-;-
27.08.2025 06:15;27.08.2025 06:30;32,500;-;-;-
27.08.2025 06:30;27.08.2025 06:45;32,500;-;-;-
27.08.2025 06:45;27.08.2025 07:00;32,500;-;-;-
27.08.2025 07:00;27.08.2025 07:15;87,750;-;-;-
27.08.2025 07:15;27.08.2025 07:30;87,750;-;-;-
27.08.2025 07:30;27.08.2025 07:45;87,750;-;-;-
27.08.2025 07:45;27.08.2025 08:00;87,750;-;-;-
27.08.2025 08:00;27.08.2025 08:15;23,000;-;-;-
27.08.2025 08:15;27.08.2025 08:30;23,000;-;-;-
27.08.2025 08:30;27.08.2025 08:45;23,000;-;-;-
27.08.2025 08:45;27.08.2025 09:00;23,000;-;-;-
27.08.2025 09:00;27.08.2025 09:15;0,000;-;-;-
27.08.2025 09:15;27.08.2025 09:30;0,000;-;-;-
27.08.2025 09:30;27.08.2025 09:45;0,000;-;-;-
27.08.2025 09:45;27.08.2025 10:00;0,000;-;-;-
27.08.2025 10:00;27.08.2025 10:15;0,000;-;-;-
27.08.2025 10:15;27.08.2025 10:30;0,000;-;-;-
27.08.2025 10:30;27.08.2025 10:45;0,000;-;-;-
27.08.2025 10:45;27.08.2025 11:00;0,000;-;-;-
27.08.2025 11:00;27.08.2025 11:15;0,000;-;-;-
27.08.2025 11:15;27.08.2025 11:30;0,000;-;-;-
