Datum von;Datum bis;Generation_DE Maschine 1 [MW] Berechnete Auflösungen;Generation_DE Maschine 2 [MW] Berechnete Auflösungen
27.08.2025 18:15;27.08.2025 18:30;39,500;11,500
27.08.2025 18:30;27.08.2025 18:45;39,500;11,500
27.08.2025 18:45;27.08.2025 19:00;39,500;11,500
27.08.2025 19:00;27.08.2025 19:15;49,500;0,000
27.08.2025 19:15;27.08.2025 19:30;49,500;0,000
27.08.2025 19:30;27.08.2025 19:45;49,500;0,000
27.08.2025 19:45;27.08.2025 20:00;49,500;0,000
27.08.2025 20:00;27.08.2025 20:15;47,000;43,250
27.08.2025 20:15;27.08.2025 20:30;47,000;43,250
27.08.2025 20:30;27.08.2025 20:45;47,000;43,250
27.08.2025 20:45;27.08.2025 21:00;47,000;43,250
27.08.2025 21:00;27.08.2025 21:15;38,750;9,750
27.08.2025 21:15;27.08.2025 21:30;38,750;9,750
27.08.2025 21:30;27.08.2025 21:45;38,750;9,750
27.08.2025 21:45;27.08.2025 22:00;38,750;9,750
27.08.2025 22:00;27.08.2025 22:15;1,250;3,250
27.08.2025 22:15;27.08.2025 22:30;1,250;3,250
27.08.2025 22:30;27.08.2025 22:45;1,250;3,250
27.08.2025 22:45;27.08.2025 23:00;1,250;3,250
27.08.2025 23:00;27.08.2025 23:15;0,000;0,250
27.08.2025 23:15;27.08.2025 23:30;0,000;0,250
27.08.2025 23:30;27.08.2025 23:45;0,000;0,250
27.08.2025 23:45;28.08.2025 00:00;0,000;0,250
28.08.2025 00:00;28.08.2025 00:15;0,000;4,250
28.08.2025 00:15;28.08.2025 00:30;0,000;4,250
28.08.2025 00:30;28.08.2025 00:45;0,000;4,250
28.08.2025 00:45;28.08.2025 01:00;0,000;4,250
28.08.2025 01:00;28.08.2025 01:15;0,000;4,250
28.08.2025 01:15;28.08.2025 01:30;0,000;4,250
28.08.2025 01:30;28.08.2025 01:45;0,000;4,250
28.08.2025 01:45;28.08.2025 02:00;0,000;4,250
28.08.2025 02:00;28.08.2025 02:15;0,000;4,250
28.08.2025 02:15;28.08.2025 02:30;0,000;4,250
28.08.2025 02:30;28.08.2025 02:45;0,000;4,250
28.08.2025 02:45;28.08.2025 03:00;0,000;4,250
28.08.2025 03:00;28.08.2025 03:15;0,000;4,250
28.08.2025 03:15;28.08.2025 03:30;0,000;4,250
28.08.2025 03:30;28.08.2025 03:45;0,000;4,250
28.08.2025 03:45;28.08.2025 04:00;0,000;4,250
28.08.2025 04:00;28.08.2025 04:15;0,000;2,750
28.08.2025 04:15;28.08.2025 04:30;0,000;2,750
28.08.2025 04:30;28.08.2025 04:45;0,000;2,750
28.08.2025 04:45;28.08.2025 05:00;0,000;2,750
28.08.2025 05:00;28.08.2025 05:15;0,000;0,000
28.08.2025 05:15;28.08.2025 05:30;0,000;0,000
28.08.2025 05:30;28.08.2025 05:45;0,000;0,000
28.08.2025 05:45;28.08.2025 06:00;0,000;0,000
28.08.2025 06:00;28.08.2025 06:15;7,000;5,750
28.08.2025 06:15;28.08.2025 06:30;7,000;5,750
28.08.2025 06:30;28.08.2025 06:45;7,000;5,750
28.08.2025 06:45;28.08.2025 07:00;7,000;5,750
28.08.2025 07:00;28.08.2025 07:15;5,250;24,250
28.08.2025 07:15;28.08.2025 07:30;5,250;24,250
28.08.2025 07:30;28.08.2025 07:45;5,250;24,250
28.08.2025 07:45;28.08.2025 08:00;5,250;24,250
28.08.2025 08:00;28.08.2025 08:15;10,000;18,250
28.08.2025 08:15;28.08.2025 08:30;10,000;18,250
28.08.2025 08:30;28.08.2025 08:45;10,000;18,250
28.08.2025 08:45;28.08.2025 09:00;10,000;18,250
28.08.2025 09:00;28.08.2025 09:15;5,500;6,500
28.08.2025 09:15;28.08.2025 09:30;5,500;6,500
28.08.2025 09:30;28.08.2025 09:45;5,500;6,500
28.08.2025 09:45;28.08.2025 10:00;5,500;6,500
28.08.2025 10:00;28.08.2025 10:15;0,000;9,000
28.08.2025 10:15;28.08.2025 10:30;0,000;9,000
28.08.2025 10:30;28.08.2025 10:45;0,000;9,000
28.08.2025 10:45;28.08.2025 11:00;0,000;9,000
28.08.2025 11:00;28.08.2025 11:15;0,000;4,250
28.08.2025 11:15;28.08.2025 11:30;0,000;4,250
28.08.2025 11:30;28.08.2025 11:45;0,000;4,250
28.08.2025 11:45;28.08.2025 12:00;0,000;4,250
28.08.2025 12:00;28.08.2025 12:15;0,000;12,500
28.08.2025 12:15;28.08.2025 12:30;0,000;12,500
28.08.2025 12:30;28.08.2025 12:45;0,000;12,500
28.08.2025 12:45;28.08.2025 13:00;0,000;12,500
28.08.2025 13:00;28.08.2025 13:15;0,000;13,750
28.08.2025 13:15;28.08.2025 13:30;0,000;13,750
28.08.2025 13:30;28.08.2025 13:45;0,000;13,750
28.08.2025 13:45;28.08.2025 14:00;0,000;13,750
28.08.2025 14:00;28.08.2025 14:15;0,000;7,000
28.08.2025 14:15;28.08.2025 14:30;0,000;7,000
28.08.2025 14:30;28.08.2025 14:45;0,000;7,000
28.08.2025 14:45;28.08.2025 15:00;0,000;7,000
28.08.2025 15:00;28.08.2025 15:15;0,000;4,500
28.08.2025 15:15;28.08.2025 15:30;0,000;4,500
28.08.2025 15:30;28.08.2025 15:45;0,000;4,500
28.08.2025 15:45;28.08.2025 16:00;0,000;4,500
28.08.2025 16:00;28.08.2025 16:15;0,250;5,750
28.08.2025 16:15;28.08.2025 16:30;0,250;5,750
28.08.2025 16:30;28.08.2025 16:45;0,250;5,750
28.08.2025 16:45;28.08.2025 17:00;0,250;5,750
28.08.2025 17:00;28.08.2025 17:15;37,000;11,500
28.08.2025 17:15;28.08.2025 17:30;37,000;11,500
28.08.2025 17:30;28.08.2025 17:45;37,000;11,500
28.08.2025 17:45;28.08.2025 18:00;37,000;11,500
28.08.2025 18:00;28.08.2025 18:15;38,250;22,000
28.08.2025 18:15;28.08.2025 18:30;38,250;22,000
28.08.2025 18:30;28.08.2025 18:45;38,250;22,000
28.08.2025 18:45;28.08.2025 19:00;38,250;22,000
28.08.2025 19:00;28.08.2025 19:15;52,500;25,750
28.08.2025 19:15;28.08.2025 19:30;52,500;25,750
28.08.2025 19:30;28.08.2025 19:45;52,500;25,750
28.08.2025 19:45;28.08.2025 20:00;52,500;25,750
28.08.2025 20:00;28.08.2025 20:15;52,500;23,500
28.08.2025 20:15;28.08.2025 20:30;52,500;23,500
28.08.2025 20:30;28.08.2025 20:45;52,500;23,500
28.08.2025 20:45;28.08.2025 21:00;52,500;23,500
28.08.2025 21:00;28.08.2025 21:15;24,500;2,250
28.08.2025 21:15;28.08.2025 21:30;24,500;2,250
28.08.2025 21:30;28.08.2025 21:45;24,500;2,250
28.08.2025 21:45;28.08.2025 22:00;24,500;2,250
28.08.2025 22:00;28.08.2025 22:15;36,250;0,000
28.08.2025 22:15;28.08.2025 22:30;36,250;0,000
28.08.2025 22:30;28.08.2025 22:45;36,250;0,000
28.08.2025 22:45;28.08.2025 23:00;36,250;0,000
28.08.2025 23:00;28.08.2025 23:15;5,750;0,000
28.08.2025 23:15;28.08.2025 23:30;5,750;0,000
28.08.2025 23:30;28.08.2025 23:45;5,750;0,000
28.08.2025 23:45;29.08.2025 00:00;5,750;0,000
29.08.2025 00:00;29.08.2025 00:15;0,000;0,000
29.08.2025 00:15;29.08.2025 00:30;0,000;0,000
29.08.2025 00:30;29.08.2025 00:45;0,000;0,000
29.08.2025 00:45;29.08.2025 01:00;0,000;0,000
29.08.2025 01:00;29.08.2025 01:15;0,000;0,000
29.08.2025 01:15;29.08.2025 01:30;0,000;0,000
29.08.2025 01:30;29.08.2025 01:45;0,000;0,000
29.08.2025 01:45;29.08.2025 02:00;0,000;0,000
29.08.2025 02:00;29.08.2025 02:15;0,000;0,000
29.08.2025 02:15;29.08.2025 02:30;0,000;0,000
29.08.2025 02:30;29.08.2025 02:45;0,000;0,000
29.08.2025 02:45;29.08.2025 03:00;0,000;0,000
29.08.2025 03:00;29.08.2025 03:15;1,250;0,000
29.08.2025 03:15;29.08.2025 03:30;1,250;0,000
29.08.2025 03:30;29.08.2025 03:45;1,250;0,000
29.08.2025 03:45;29.08.2025 04:00;1,250;0,000
29.08.2025 04:00;29.08.2025 04:15;4,250;0,000
29.08.2025 04:15;29.08.2025 04:30;4,250;0,000
29.08.2025 04:30;29.08.2025 04:45;4,250;0,000
29.08.2025 04:45;29.08.2025 05:00;4,250;0,000
29.08.2025 05:00;29.08.2025 05:15;4,250;0,000
29.08.2025 05:15;29.08.2025 05:30;4,250;0,000
29.08.2025 05:30;29.08.2025 05:45;4,250;0,000
