Datum von;Datum bis;Generation_DE Block 10 [MW] Berechnete Auflösungen;Generation_DE Block 20 [MW] Berechnete Auflösungen
27.08.2025 13:30;27.08.2025 13:45;0,000;0,000
27.08.2025 13:45;27.08.2025 14:00;0,000;0,000
27.08.2025 14:00;27.08.2025 14:15;0,000;0,000
27.08.2025 14:15;27.08.2025 14:30;0,000;0,000
27.08.2025 14:30;27.08.2025 14:45;0,000;0,000
27.08.2025 14:45;27.08.2025 15:00;0,000;0,000
27.08.2025 15:00;27.08.2025 15:15;0,000;0,000
27.08.2025 15:15;27.08.2025 15:30;0,000;0,000
27.08.2025 15:30;27.08.2025 15:45;0,000;0,000
27.08.2025 15:45;27.08.2025 16:00;0,000;0,000
27.08.2025 16:00;27.08.2025 16:15;6,500;0,000
27.08.2025 16:15;27.08.2025 16:30;6,500;0,000
27.08.2025 16:30;27.08.2025 16:45;6,500;0,000
27.08.2025 16:45;27.08.2025 17:00;6,500;0,000
27.08.2025 17:00;27.08.2025 17:15;96,500;77,750
27.08.2025 17:15;27.08.2025 17:30;96,500;77,750
27.08.2025 17:30;27.08.2025 17:45;96,500;77,750
27.08.2025 17:45;27.08.2025 18:00;96,500;77,750
27.08.2025 18:00;27.08.2025 18:15;99,250;99,250
27.08.2025 18:15;27.08.2025 18:30;99,250;99,250
27.08.2025 18:30;27.08.2025 18:45;99,250;99,250
27.08.2025 18:45;27.08.2025 19:00;99,250;99,250
27.08.2025 19:00;27.08.2025 19:15;100,250;100,250
27.08.2025 19:15;27.08.2025 19:30;100,250;100,250
27.08.2025 19:30;27.08.2025 19:45;100,250;100,250
27.08.2025 19:45;27.08.2025 20:00;100,250;100,250
27.08.2025 20:00;27.08.2025 20:15;102,000;102,000
27.08.2025 20:15;27.08.2025 20:30;102,000;102,000
27.08.2025 20:30;27.08.2025 20:45;102,000;102,000
27.08.2025 20:45;27.08.2025 21:00;102,000;102,000
27.08.2025 21:00;27.08.2025 21:15;103,250;103,250
27.08.2025 21:15;27.08.2025 21:30;103,250;103,250
27.08.2025 21:30;27.08.2025 21:45;103,250;103,250
27.08.2025 21:45;27.08.2025 22:00;103,250;103,250
27.08.2025 22:00;27.08.2025 22:15;100,250;100,250
27.08.2025 22:15;27.08.2025 22:30;100,250;100,250
27.08.2025 22:30;27.08.2025 22:45;100,250;100,250
27.08.2025 22:45;27.08.2025 23:00;100,250;100,250
27.08.2025 23:00;27.08.2025 23:15;101,000;100,750
27.08.2025 23:15;27.08.2025 23:30;101,000;100,750
27.08.2025 23:30;27.08.2025 23:45;101,000;100,750
27.08.2025 23:45;28.08.2025 00:00;101,000;100,750
28.08.2025 00:00;28.08.2025 00:15;102,750;103,250
28.08.2025 00:15;28.08.2025 00:30;102,750;103,250
28.08.2025 00:30;28.08.2025 00:45;102,750;103,250
28.08.2025 00:45;28.08.2025 01:00;102,750;103,250
28.08.2025 01:00;28.08.2025 01:15;105,000;105,000
28.08.2025 01:15;28.08.2025 01:30;105,000;105,000
28.08.2025 01:30;28.08.2025 01:45;105,000;105,000
28.08.2025 01:45;28.08.2025 02:00;105,000;105,000
28.08.2025 02:00;28.08.2025 02:15;105,000;105,250
28.08.2025 02:15;28.08.2025 02:30;105,000;105,250
28.08.2025 02:30;28.08.2025 02:45;105,000;105,250
28.08.2025 02:45;28.08.2025 03:00;105,000;105,250
28.08.2025 03:00;28.08.2025 03:15;103,000;103,000
28.08.2025 03:15;28.08.2025 03:30;103,000;103,000
28.08.2025 03:30;28.08.2025 03:45;103,000;103,000
28.08.2025 03:45;28.08.2025 04:00;103,000;103,000
28.08.2025 04:00;28.08.2025 04:15;101,000;101,250
28.08.2025 04:15;28.08.2025 04:30;101,000;101,250
28.08.2025 04:30;28.08.2025 04:45;101,000;101,250
28.08.2025 04:45;28.08.2025 05:00;101,000;101,250
28.08.2025 05:00;28.08.2025 05:15;96,750;96,000
28.08.2025 05:15;28.08.2025 05:30;96,750;96,000
28.08.2025 05:30;28.08.2025 05:45;96,750;96,000
28.08.2025 05:45;28.08.2025 06:00;96,750;96,000
28.08.2025 06:00;28.08.2025 06:15;106,750;106,750
28.08.2025 06:15;28.08.2025 06:30;106,750;106,750
28.08.2025 06:30;28.08.2025 06:45;106,750;106,750
28.08.2025 06:45;28.08.2025 07:00;106,750;106,750
28.08.2025 07:00;28.08.2025 07:15;107,250;106,250
28.08.2025 07:15;28.08.2025 07:30;107,250;106,250
28.08.2025 07:30;28.08.2025 07:45;107,250;106,250
28.08.2025 07:45;28.08.2025 08:00;107,250;106,250
28.08.2025 08:00;28.08.2025 08:15;108,250;106,250
28.08.2025 08:15;28.08.2025 08:30;108,250;106,250
28.08.2025 08:30;28.08.2025 08:45;108,250;106,250
28.08.2025 08:45;28.08.2025 09:00;108,250;106,250
28.08.2025 09:00;28.08.2025 09:15;107,500;107,250
28.08.2025 09:15;28.08.2025 09:30;107,500;107,250
28.08.2025 09:30;28.08.2025 09:45;107,500;107,250
28.08.2025 09:45;28.08.2025 10:00;107,500;107,250
28.08.2025 10:00;28.08.2025 10:15;97,500;101,500
28.08.2025 10:15;28.08.2025 10:30;97,500;101,500
28.08.2025 10:30;28.08.2025 10:45;97,500;101,500
28.08.2025 10:45;28.08.2025 11:00;97,500;101,500
28.08.2025 11:00;28.08.2025 11:15;98,500;98,500
28.08.2025 11:15;28.08.2025 11:30;98,500;98,500
28.08.2025 11:30;28.08.2025 11:45;98,500;98,500
28.08.2025 11:45;28.08.2025 12:00;98,500;98,500
28.08.2025 12:00;28.08.2025 12:15;76,250;76,250
28.08.2025 12:15;28.08.2025 12:30;76,250;76,250
28.08.2025 12:30;28.08.2025 12:45;76,250;76,250
28.08.2025 12:45;28.08.2025 13:00;76,250;76,250
28.08.2025 13:00;28.08.2025 13:15;101,250;101,750
