Datum von;Datum bis;Generation_DE Maschine 1 [MW] Berechnete Auflösungen;Generation_DE Maschine 2 [MW] Berechnete Auflösungen
28.08.2025 13:00;28.08.2025 13:15;0,000;0,000
28.08.2025 13:15;28.08.2025 13:30;0,000;0,000
28.08.2025 13:30;28.08.2025 13:45;0,000;0,000
28.08.2025 13:45;28.08.2025 14:00;0,000;0,000
28.08.2025 14:00;28.08.2025 14:15;0,000;0,000
28.08.2025 14:15;28.08.2025 14:30;0,000;0,000
28.08.2025 14:30;28.08.2025 14:45;0,000;0,000
28.08.2025 14:45;28.08.2025 15:00;0,000;0,000
28.08.2025 15:00;28.08.2025 15:15;0,000;0,000
28.08.2025 15:15;28.08.2025 15:30;0,000;0,000
28.08.2025 15:30;28.08.2025 15:45;0,000;0,000
28.08.2025 15:45;28.08.2025 16:00;0,000;0,000
28.08.2025 16:00;28.08.2025 16:15;0,000;0,000
28.08.2025 16:15;28.08.2025 16:30;0,000;0,000
28.08.2025 16:30;28.08.2025 16:45;0,000;0,000
28.08.2025 16:45;28.08.2025 17:00;0,000;0,000
28.08.2025 17:00;28.08.2025 17:15;0,000;18,750
28.08.2025 17:15;28.08.2025 17:30;0,000;18,750
28.08.2025 17:30;28.08.2025 17:45;0,000;18,750
28.08.2025 17:45;28.08.2025 18:00;0,000;18,750
28.08.2025 18:00;28.08.2025 18:15;4,750;13,000
28.08.2025 18:15;28.08.2025 18:30;4,750;13,000
28.08.2025 18:30;28.08.2025 18:45;4,750;13,000
28.08.2025 18:45;28.08.2025 19:00;4,750;13,000
28.08.2025 19:00;28.08.2025 19:15;16,750;28,250
28.08.2025 19:15;28.08.2025 19:30;16,750;28,250
28.08.2025 19:30;28.08.2025 19:45;16,750;28,250
28.08.2025 19:45;28.08.2025 20:00;16,750;28,250
28.08.2025 20:00;28.08.2025 20:15;19,750;14,250
28.08.2025 20:15;28.08.2025 20:30;19,750;14,250
28.08.2025 20:30;28.08.2025 20:45;19,750;14,250
28.08.2025 20:45;28.08.2025 21:00;19,750;14,250
28.08.2025 21:00;28.08.2025 21:15;0,000;0,000
