Datum von;Datum bis;Generation_DE GuD Herne [MW] Berechnete Auflösungen
28.08.2025 17:15;28.08.2025 17:30;144,750
28.08.2025 17:30;28.08.2025 17:45;144,750
28.08.2025 17:45;28.08.2025 18:00;144,750
28.08.2025 18:00;28.08.2025 18:15;144,000
28.08.2025 18:15;28.08.2025 18:30;144,000
28.08.2025 18:30;28.08.2025 18:45;144,000
28.08.2025 18:45;28.08.2025 19:00;144,000
28.08.2025 19:00;28.08.2025 19:15;144,000
28.08.2025 19:15;28.08.2025 19:30;144,000
28.08.2025 19:30;28.08.2025 19:45;144,000
28.08.2025 19:45;28.08.2025 20:00;144,000
28.08.2025 20:00;28.08.2025 20:15;144,750
28.08.2025 20:15;28.08.2025 20:30;144,750
28.08.2025 20:30;28.08.2025 20:45;144,750
28.08.2025 20:45;28.08.2025 21:00;144,750
28.08.2025 21:00;28.08.2025 21:15;147,250
28.08.2025 21:15;28.08.2025 21:30;147,250
28.08.2025 21:30;28.08.2025 21:45;147,250
28.08.2025 21:45;28.08.2025 22:00;147,250
28.08.2025 22:00;28.08.2025 22:15;147,500
28.08.2025 22:15;28.08.2025 22:30;147,500
28.08.2025 22:30;28.08.2025 22:45;147,500
28.08.2025 22:45;28.08.2025 23:00;147,500
28.08.2025 23:00;28.08.2025 23:15;147,750
28.08.2025 23:15;28.08.2025 23:30;147,750
28.08.2025 23:30;28.08.2025 23:45;147,750
28.08.2025 23:45;29.08.2025 00:00;147,750
29.08.2025 00:00;29.08.2025 00:15;145,250
29.08.2025 00:15;29.08.2025 00:30;145,250
29.08.2025 00:30;29.08.2025 00:45;145,250
29.08.2025 00:45;29.08.2025 01:00;145,250
29.08.2025 01:00;29.08.2025 01:15;145,500
29.08.2025 01:15;29.08.2025 01:30;145,500
29.08.2025 01:30;29.08.2025 01:45;145,500
29.08.2025 01:45;29.08.2025 02:00;145,500
29.08.2025 02:00;29.08.2025 02:15;145,750
29.08.2025 02:15;29.08.2025 02:30;145,750
29.08.2025 02:30;29.08.2025 02:45;145,750
29.08.2025 02:45;29.08.2025 03:00;145,750
29.08.2025 03:00;29.08.2025 03:15;145,750
29.08.2025 03:15;29.08.2025 03:30;145,750
29.08.2025 03:30;29.08.2025 03:45;145,750
29.08.2025 03:45;29.08.2025 04:00;145,750
29.08.2025 04:00;29.08.2025 04:15;146,000
29.08.2025 04:15;29.08.2025 04:30;146,000
29.08.2025 04:30;29.08.2025 04:45;146,000
29.08.2025 04:45;29.08.2025 05:00;146,000
29.08.2025 05:00;29.08.2025 05:15;148,750
29.08.2025 05:15;29.08.2025 05:30;148,750
29.08.2025 05:30;29.08.2025 05:45;148,750
29.08.2025 05:45;29.08.2025 06:00;148,750
29.08.2025 06:00;29.08.2025 06:15;149,000
29.08.2025 06:15;29.08.2025 06:30;149,000
29.08.2025 06:30;29.08.2025 06:45;149,000
29.08.2025 06:45;29.08.2025 07:00;149,000
29.08.2025 07:00;29.08.2025 07:15;149,000
29.08.2025 07:15;29.08.2025 07:30;149,000
29.08.2025 07:30;29.08.2025 07:45;149,000
29.08.2025 07:45;29.08.2025 08:00;149,000
29.08.2025 08:00;29.08.2025 08:15;148,750
29.08.2025 08:15;29.08.2025 08:30;148,750
29.08.2025 08:30;29.08.2025 08:45;148,750
29.08.2025 08:45;29.08.2025 09:00;148,750
29.08.2025 09:00;29.08.2025 09:15;147,250
29.08.2025 09:15;29.08.2025 09:30;147,250
29.08.2025 09:30;29.08.2025 09:45;147,250
29.08.2025 09:45;29.08.2025 10:00;147,250
29.08.2025 10:00;29.08.2025 10:15;126,000
29.08.2025 10:15;29.08.2025 10:30;126,000
29.08.2025 10:30;29.08.2025 10:45;126,000
29.08.2025 10:45;29.08.2025 11:00;126,000
29.08.2025 11:00;29.08.2025 11:15;84,250
29.08.2025 11:15;29.08.2025 11:30;84,250
29.08.2025 11:30;29.08.2025 11:45;84,250
29.08.2025 11:45;29.08.2025 12:00;84,250
29.08.2025 12:00;29.08.2025 12:15;62,500
29.08.2025 12:15;29.08.2025 12:30;62,500
29.08.2025 12:30;29.08.2025 12:45;62,500
29.08.2025 12:45;29.08.2025 13:00;62,500
29.08.2025 13:00;29.08.2025 13:15;0,000
29.08.2025 13:15;29.08.2025 13:30;0,000
29.08.2025 13:30;29.08.2025 13:45;0,000
29.08.2025 13:45;29.08.2025 14:00;0,000
29.08.2025 14:00;29.08.2025 14:15;0,000
29.08.2025 14:15;29.08.2025 14:30;0,000
29.08.2025 14:30;29.08.2025 14:45;0,000
29.08.2025 14:45;29.08.2025 15:00;0,000
29.08.2025 15:00;29.08.2025 15:15;62,500
29.08.2025 15:15;29.08.2025 15:30;62,500
29.08.2025 15:30;29.08.2025 15:45;62,500
29.08.2025 15:45;29.08.2025 16:00;62,500
29.08.2025 16:00;29.08.2025 16:15;120,500
29.08.2025 16:15;29.08.2025 16:30;120,500
29.08.2025 16:30;29.08.2025 16:45;120,500
29.08.2025 16:45;29.08.2025 17:00;120,500
29.08.2025 17:00;29.08.2025 17:15;139,500
29.08.2025 17:15;29.08.2025 17:30;139,500
29.08.2025 17:30;29.08.2025 17:45;139,500
29.08.2025 17:45;29.08.2025 18:00;139,500
