Datum von;Datum bis;Generation_DE Block R [MW] Berechnete Auflösungen;Generation_DE Block S [MW] Berechnete Auflösungen
27.08.2025 07:30;27.08.2025 07:45;209,250;208,000
27.08.2025 07:45;27.08.2025 08:00;209,250;208,000
27.08.2025 08:00;27.08.2025 08:15;209,750;207,500
27.08.2025 08:15;27.08.2025 08:30;209,750;207,500
27.08.2025 08:30;27.08.2025 08:45;209,750;207,500
27.08.2025 08:45;27.08.2025 09:00;209,750;207,500
27.08.2025 09:00;27.08.2025 09:15;203,750;201,500
27.08.2025 09:15;27.08.2025 09:30;203,750;201,500
27.08.2025 09:30;27.08.2025 09:45;203,750;201,500
27.08.2025 09:45;27.08.2025 10:00;203,750;201,500
27.08.2025 10:00;27.08.2025 10:15;173,750;130,750
27.08.2025 10:15;27.08.2025 10:30;173,750;130,750
27.08.2025 10:30;27.08.2025 10:45;173,750;130,750
27.08.2025 10:45;27.08.2025 11:00;173,750;130,750
27.08.2025 11:00;27.08.2025 11:15;120,250;86,000
27.08.2025 11:15;27.08.2025 11:30;120,250;86,000
27.08.2025 11:30;27.08.2025 11:45;120,250;86,000
27.08.2025 11:45;27.08.2025 12:00;120,250;86,000
27.08.2025 12:00;27.08.2025 12:15;72,750;72,000
27.08.2025 12:15;27.08.2025 12:30;72,750;72,000
27.08.2025 12:30;27.08.2025 12:45;72,750;72,000
27.08.2025 12:45;27.08.2025 13:00;72,750;72,000
27.08.2025 13:00;27.08.2025 13:15;68,250;72,750
27.08.2025 13:15;27.08.2025 13:30;68,250;72,750
27.08.2025 13:30;27.08.2025 13:45;68,250;72,750
27.08.2025 13:45;27.08.2025 14:00;68,250;72,750
27.08.2025 14:00;27.08.2025 14:15;91,250;72,000
27.08.2025 14:15;27.08.2025 14:30;91,250;72,000
27.08.2025 14:30;27.08.2025 14:45;91,250;72,000
27.08.2025 14:45;27.08.2025 15:00;91,250;72,000
27.08.2025 15:00;27.08.2025 15:15;137,250;93,250
27.08.2025 15:15;27.08.2025 15:30;137,250;93,250
27.08.2025 15:30;27.08.2025 15:45;137,250;93,250
