Datum von;Datum bis;Generation_DE Block 7 [MW] Berechnete Auflösungen;Generation_DE Block 8 [MW] Berechnete Auflösungen;Generation_DE Block 8 Wasserturbine [MW] Berechnete Auflösungen;Generation_DE Block 4S GT [MW] Berechnete Auflösungen;Generation_DE Block 4S DT [MW] Berechnete Auflösungen
27.08.2025 15:15;27.08.2025 15:30;-;100,500;-;-;-
27.08.2025 15:30;27.08.2025 15:45;-;100,500;-;-;-
27.08.2025 15:45;27.08.2025 16:00;-;100,500;-;-;-
27.08.2025 16:00;27.08.2025 16:15;-;180,000;-;-;-
27.08.2025 16:15;27.08.2025 16:30;-;180,000;-;-;-
27.08.2025 16:30;27.08.2025 16:45;-;180,000;-;-;-
27.08.2025 16:45;27.08.2025 17:00;-;180,000;-;-;-
27.08.2025 17:00;27.08.2025 17:15;-;197,500;-;-;-
27.08.2025 17:15;27.08.2025 17:30;-;197,500;-;-;-
27.08.2025 17:30;27.08.2025 17:45;-;197,500;-;-;-
27.08.2025 17:45;27.08.2025 18:00;-;197,500;-;-;-
27.08.2025 18:00;27.08.2025 18:15;-;200,000;-;-;-
27.08.2025 18:15;27.08.2025 18:30;-;200,000;-;-;-
27.08.2025 18:30;27.08.2025 18:45;-;200,000;-;-;-
27.08.2025 18:45;27.08.2025 19:00;-;200,000;-;-;-
27.08.2025 19:00;27.08.2025 19:15;-;200,500;-;-;-
27.08.2025 19:15;27.08.2025 19:30;-;200,500;-;-;-
27.08.2025 19:30;27.08.2025 19:45;-;200,500;-;-;-
27.08.2025 19:45;27.08.2025 20:00;-;200,500;-;-;-
27.08.2025 20:00;27.08.2025 20:15;-;200,250;-;-;-
27.08.2025 20:15;27.08.2025 20:30;-;200,250;-;-;-
27.08.2025 20:30;27.08.2025 20:45;-;200,250;-;-;-
27.08.2025 20:45;27.08.2025 21:00;-;200,250;-;-;-
27.08.2025 21:00;27.08.2025 21:15;-;200,000;-;-;-
27.08.2025 21:15;27.08.2025 21:30;-;200,000;-;-;-
27.08.2025 21:30;27.08.2025 21:45;-;200,000;-;-;-
27.08.2025 21:45;27.08.2025 22:00;-;200,000;-;-;-
