Datum von;Datum bis;Generation_DE KW 3 GT31 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 5A [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 54 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 56 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 59 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 51 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 53 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 58 [MW] Berechnete Auflösungen;Generation_DE KW2 DT27 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 55 [MW] Berechnete Auflösungen;Generation_DE KW2 GT26 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 52 [MW] Berechnete Auflösungen;Generation_DE KW3 DT32 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 57 [MW] Berechnete Auflösungen
26.08.2025 16:15;26.08.2025 16:30;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 16:30;26.08.2025 16:45;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 16:45;26.08.2025 17:00;0,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 17:00;26.08.2025 17:15;62,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 17:15;26.08.2025 17:30;62,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 17:30;26.08.2025 17:45;62,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 17:45;26.08.2025 18:00;62,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 18:00;26.08.2025 18:15;94,750;1,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 18:15;26.08.2025 18:30;94,750;1,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 18:30;26.08.2025 18:45;94,750;1,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 18:45;26.08.2025 19:00;94,750;1,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 19:00;26.08.2025 19:15;95,500;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 19:15;26.08.2025 19:30;95,500;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 19:30;26.08.2025 19:45;95,500;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 19:45;26.08.2025 20:00;95,500;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 20:00;26.08.2025 20:15;96,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 20:15;26.08.2025 20:30;96,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 20:30;26.08.2025 20:45;96,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 20:45;26.08.2025 21:00;96,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 21:00;26.08.2025 21:15;98,500;0,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 21:15;26.08.2025 21:30;98,500;0,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 21:30;26.08.2025 21:45;98,500;0,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 21:45;26.08.2025 22:00;98,500;0,500;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 22:00;26.08.2025 22:15;99,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 22:15;26.08.2025 22:30;99,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 22:30;26.08.2025 22:45;99,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 22:45;26.08.2025 23:00;99,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 23:00;26.08.2025 23:15;92,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 23:15;26.08.2025 23:30;92,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 23:30;26.08.2025 23:45;92,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
26.08.2025 23:45;27.08.2025 00:00;92,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 00:00;27.08.2025 00:15;95,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 00:15;27.08.2025 00:30;95,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 00:30;27.08.2025 00:45;95,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 00:45;27.08.2025 01:00;95,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 01:00;27.08.2025 01:15;98,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 01:15;27.08.2025 01:30;98,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 01:30;27.08.2025 01:45;98,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 01:45;27.08.2025 02:00;98,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 02:00;27.08.2025 02:15;88,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 02:15;27.08.2025 02:30;88,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 02:30;27.08.2025 02:45;88,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 02:45;27.08.2025 03:00;88,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 03:00;27.08.2025 03:15;84,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 03:15;27.08.2025 03:30;84,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 03:30;27.08.2025 03:45;84,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 03:45;27.08.2025 04:00;84,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 04:00;27.08.2025 04:15;91,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 04:15;27.08.2025 04:30;91,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 04:30;27.08.2025 04:45;91,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 04:45;27.08.2025 05:00;91,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 05:00;27.08.2025 05:15;100,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 05:15;27.08.2025 05:30;100,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 05:30;27.08.2025 05:45;100,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 05:45;27.08.2025 06:00;100,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 06:00;27.08.2025 06:15;103,750;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 06:15;27.08.2025 06:30;103,750;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 06:30;27.08.2025 06:45;103,750;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 06:45;27.08.2025 07:00;103,750;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 07:00;27.08.2025 07:15;104,000;5,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 07:15;27.08.2025 07:30;104,000;5,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 07:30;27.08.2025 07:45;104,000;5,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 07:45;27.08.2025 08:00;104,000;5,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 08:00;27.08.2025 08:15;103,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 08:15;27.08.2025 08:30;103,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 08:30;27.08.2025 08:45;103,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 08:45;27.08.2025 09:00;103,750;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 09:00;27.08.2025 09:15;94,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 09:15;27.08.2025 09:30;94,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 09:30;27.08.2025 09:45;94,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 09:45;27.08.2025 10:00;94,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 10:00;27.08.2025 10:15;82,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 10:15;27.08.2025 10:30;82,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 10:30;27.08.2025 10:45;82,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 10:45;27.08.2025 11:00;82,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
