Datum von;Datum bis;Generation_DE Neurath C [MW] Berechnete Auflösungen;Generation_DE Neurath D [MW] Berechnete Auflösungen;Generation_DE Neurath E [MW] Berechnete Auflösungen;Generation_DE Neurath F [MW] Berechnete Auflösungen;Generation_DE Neurath G [MW] Berechnete Auflösungen;Generation_DE Neurath A [MW] Berechnete Auflösungen;Generation_DE Neurath B [MW] Berechnete Auflösungen;Generation_DE Batteriespeicher Neurath [MW] Berechnete Auflösungen
28.08.2025 00:00;28.08.2025 00:15;-;-;-;254,250;262,250;-;-;-
28.08.2025 00:15;28.08.2025 00:30;-;-;-;254,250;262,250;-;-;-
28.08.2025 00:30;28.08.2025 00:45;-;-;-;254,250;262,250;-;-;-
28.08.2025 00:45;28.08.2025 01:00;-;-;-;254,250;262,250;-;-;-
28.08.2025 01:00;28.08.2025 01:15;-;-;-;253,500;262,750;-;-;-
28.08.2025 01:15;28.08.2025 01:30;-;-;-;253,500;262,750;-;-;-
28.08.2025 01:30;28.08.2025 01:45;-;-;-;253,500;262,750;-;-;-
28.08.2025 01:45;28.08.2025 02:00;-;-;-;253,500;262,750;-;-;-
28.08.2025 02:00;28.08.2025 02:15;-;-;-;254,000;262,500;-;-;-
28.08.2025 02:15;28.08.2025 02:30;-;-;-;254,000;262,500;-;-;-
28.08.2025 02:30;28.08.2025 02:45;-;-;-;254,000;262,500;-;-;-
28.08.2025 02:45;28.08.2025 03:00;-;-;-;254,000;262,500;-;-;-
28.08.2025 03:00;28.08.2025 03:15;-;-;-;254,250;262,750;-;-;-
28.08.2025 03:15;28.08.2025 03:30;-;-;-;254,250;262,750;-;-;-
28.08.2025 03:30;28.08.2025 03:45;-;-;-;254,250;262,750;-;-;-
28.08.2025 03:45;28.08.2025 04:00;-;-;-;254,250;262,750;-;-;-
28.08.2025 04:00;28.08.2025 04:15;-;-;-;254,250;261,250;-;-;-
28.08.2025 04:15;28.08.2025 04:30;-;-;-;254,250;261,250;-;-;-
28.08.2025 04:30;28.08.2025 04:45;-;-;-;254,250;261,250;-;-;-
28.08.2025 04:45;28.08.2025 05:00;-;-;-;254,250;261,250;-;-;-
28.08.2025 05:00;28.08.2025 05:15;-;-;-;254,000;261,250;-;-;-
28.08.2025 05:15;28.08.2025 05:30;-;-;-;254,000;261,250;-;-;-
28.08.2025 05:30;28.08.2025 05:45;-;-;-;254,000;261,250;-;-;-
28.08.2025 05:45;28.08.2025 06:00;-;-;-;254,000;261,250;-;-;-
28.08.2025 06:00;28.08.2025 06:15;-;-;-;254,750;262,500;-;-;-
28.08.2025 06:15;28.08.2025 06:30;-;-;-;254,750;262,500;-;-;-
28.08.2025 06:30;28.08.2025 06:45;-;-;-;254,750;262,500;-;-;-
28.08.2025 06:45;28.08.2025 07:00;-;-;-;254,750;262,500;-;-;-
28.08.2025 07:00;28.08.2025 07:15;-;-;-;253,750;264,750;-;-;-
28.08.2025 07:15;28.08.2025 07:30;-;-;-;253,750;264,750;-;-;-
28.08.2025 07:30;28.08.2025 07:45;-;-;-;253,750;264,750;-;-;-
28.08.2025 07:45;28.08.2025 08:00;-;-;-;253,750;264,750;-;-;-
28.08.2025 08:00;28.08.2025 08:15;-;-;-;254,250;264,000;-;-;-
28.08.2025 08:15;28.08.2025 08:30;-;-;-;254,250;264,000;-;-;-
28.08.2025 08:30;28.08.2025 08:45;-;-;-;254,250;264,000;-;-;-
28.08.2025 08:45;28.08.2025 09:00;-;-;-;254,250;264,000;-;-;-
28.08.2025 09:00;28.08.2025 09:15;-;-;-;253,750;262,500;-;-;-
28.08.2025 09:15;28.08.2025 09:30;-;-;-;253,750;262,500;-;-;-
28.08.2025 09:30;28.08.2025 09:45;-;-;-;253,750;262,500;-;-;-
28.08.2025 09:45;28.08.2025 10:00;-;-;-;253,750;262,500;-;-;-
28.08.2025 10:00;28.08.2025 10:15;-;-;-;253,750;262,750;-;-;-
28.08.2025 10:15;28.08.2025 10:30;-;-;-;253,750;262,750;-;-;-
28.08.2025 10:30;28.08.2025 10:45;-;-;-;253,750;262,750;-;-;-
28.08.2025 10:45;28.08.2025 11:00;-;-;-;253,750;262,750;-;-;-
28.08.2025 11:00;28.08.2025 11:15;-;-;-;253,500;260,000;-;-;-
28.08.2025 11:15;28.08.2025 11:30;-;-;-;253,500;260,000;-;-;-
28.08.2025 11:30;28.08.2025 11:45;-;-;-;253,500;260,000;-;-;-
28.08.2025 11:45;28.08.2025 12:00;-;-;-;253,500;260,000;-;-;-
28.08.2025 12:00;28.08.2025 12:15;-;-;-;252,250;259,750;-;-;-
28.08.2025 12:15;28.08.2025 12:30;-;-;-;252,250;259,750;-;-;-
28.08.2025 12:30;28.08.2025 12:45;-;-;-;252,250;259,750;-;-;-
28.08.2025 12:45;28.08.2025 13:00;-;-;-;252,250;259,750;-;-;-
28.08.2025 13:00;28.08.2025 13:15;-;-;-;252,500;259,750;-;-;-
28.08.2025 13:15;28.08.2025 13:30;-;-;-;252,500;259,750;-;-;-
28.08.2025 13:30;28.08.2025 13:45;-;-;-;252,500;259,750;-;-;-
28.08.2025 13:45;28.08.2025 14:00;-;-;-;252,500;259,750;-;-;-
28.08.2025 14:00;28.08.2025 14:15;-;-;-;253,500;262,000;-;-;-
28.08.2025 14:15;28.08.2025 14:30;-;-;-;253,500;262,000;-;-;-
28.08.2025 14:30;28.08.2025 14:45;-;-;-;253,500;262,000;-;-;-
28.08.2025 14:45;28.08.2025 15:00;-;-;-;253,500;262,000;-;-;-
28.08.2025 15:00;28.08.2025 15:15;-;-;-;253,250;261,500;-;-;-
28.08.2025 15:15;28.08.2025 15:30;-;-;-;253,250;261,500;-;-;-
