Datum von;Datum bis;Generation_DE Block A [MW] Berechnete Auflösungen
28.08.2025 20:15;28.08.2025 20:30;127,000
28.08.2025 20:30;28.08.2025 20:45;127,000
28.08.2025 20:45;28.08.2025 21:00;127,000
28.08.2025 21:00;28.08.2025 21:15;126,250
28.08.2025 21:15;28.08.2025 21:30;126,250
28.08.2025 21:30;28.08.2025 21:45;126,250
28.08.2025 21:45;28.08.2025 22:00;126,250
28.08.2025 22:00;28.08.2025 22:15;126,250
28.08.2025 22:15;28.08.2025 22:30;126,250
28.08.2025 22:30;28.08.2025 22:45;126,250
28.08.2025 22:45;28.08.2025 23:00;126,250
28.08.2025 23:00;28.08.2025 23:15;126,750
28.08.2025 23:15;28.08.2025 23:30;126,750
28.08.2025 23:30;28.08.2025 23:45;126,750
28.08.2025 23:45;29.08.2025 00:00;126,750
29.08.2025 00:00;29.08.2025 00:15;127,000
29.08.2025 00:15;29.08.2025 00:30;127,000
29.08.2025 00:30;29.08.2025 00:45;127,000
29.08.2025 00:45;29.08.2025 01:00;127,000
29.08.2025 01:00;29.08.2025 01:15;127,250
29.08.2025 01:15;29.08.2025 01:30;127,250
29.08.2025 01:30;29.08.2025 01:45;127,250
29.08.2025 01:45;29.08.2025 02:00;127,250
29.08.2025 02:00;29.08.2025 02:15;127,750
29.08.2025 02:15;29.08.2025 02:30;127,750
29.08.2025 02:30;29.08.2025 02:45;127,750
29.08.2025 02:45;29.08.2025 03:00;127,750
29.08.2025 03:00;29.08.2025 03:15;127,750
29.08.2025 03:15;29.08.2025 03:30;127,750
29.08.2025 03:30;29.08.2025 03:45;127,750
29.08.2025 03:45;29.08.2025 04:00;127,750
29.08.2025 04:00;29.08.2025 04:15;127,750
29.08.2025 04:15;29.08.2025 04:30;127,750
29.08.2025 04:30;29.08.2025 04:45;127,750
29.08.2025 04:45;29.08.2025 05:00;127,750
29.08.2025 05:00;29.08.2025 05:15;128,250
29.08.2025 05:15;29.08.2025 05:30;128,250
29.08.2025 05:30;29.08.2025 05:45;128,250
29.08.2025 05:45;29.08.2025 06:00;128,250
29.08.2025 06:00;29.08.2025 06:15;128,000
29.08.2025 06:15;29.08.2025 06:30;128,000
29.08.2025 06:30;29.08.2025 06:45;128,000
29.08.2025 06:45;29.08.2025 07:00;128,000
29.08.2025 07:00;29.08.2025 07:15;127,750
29.08.2025 07:15;29.08.2025 07:30;127,750
29.08.2025 07:30;29.08.2025 07:45;127,750
29.08.2025 07:45;29.08.2025 08:00;127,750
29.08.2025 08:00;29.08.2025 08:15;127,000
29.08.2025 08:15;29.08.2025 08:30;127,000
29.08.2025 08:30;29.08.2025 08:45;127,000
29.08.2025 08:45;29.08.2025 09:00;127,000
29.08.2025 09:00;29.08.2025 09:15;91,250
29.08.2025 09:15;29.08.2025 09:30;91,250
29.08.2025 09:30;29.08.2025 09:45;91,250
29.08.2025 09:45;29.08.2025 10:00;91,250
29.08.2025 10:00;29.08.2025 10:15;25,250
29.08.2025 10:15;29.08.2025 10:30;25,250
29.08.2025 10:30;29.08.2025 10:45;25,250
29.08.2025 10:45;29.08.2025 11:00;25,250
29.08.2025 11:00;29.08.2025 11:15;0,000
29.08.2025 11:15;29.08.2025 11:30;0,000
29.08.2025 11:30;29.08.2025 11:45;0,000
29.08.2025 11:45;29.08.2025 12:00;0,000
29.08.2025 12:00;29.08.2025 12:15;0,000
29.08.2025 12:15;29.08.2025 12:30;0,000
29.08.2025 12:30;29.08.2025 12:45;0,000
29.08.2025 12:45;29.08.2025 13:00;0,000
29.08.2025 13:00;29.08.2025 13:15;0,000
29.08.2025 13:15;29.08.2025 13:30;0,000
29.08.2025 13:30;29.08.2025 13:45;0,000
29.08.2025 13:45;29.08.2025 14:00;0,000
29.08.2025 14:00;29.08.2025 14:15;0,000
