Datum von;Datum bis;Generation_DE HKW 2 GT E [MW] Berechnete Auflösungen;Generation_DE Block 4 GT A [MW] Berechnete Auflösungen;Generation_DE GT B [MW] Berechnete Auflösungen;Generation_DE GT C [MW] Berechnete Auflösungen;Generation_DE HKW 2 DT [MW] Berechnete Auflösungen;Generation_DE HKW 1 [MW] Berechnete Auflösungen
29.08.2025 08:30;29.08.2025 08:45;-;-;-;-;0,000;-
29.08.2025 08:45;29.08.2025 09:00;-;-;-;-;0,000;-
29.08.2025 09:00;29.08.2025 09:15;-;-;-;-;0,000;-
29.08.2025 09:15;29.08.2025 09:30;-;-;-;-;0,000;-
29.08.2025 09:30;29.08.2025 09:45;-;-;-;-;0,000;-
29.08.2025 09:45;29.08.2025 10:00;-;-;-;-;0,000;-
29.08.2025 10:00;29.08.2025 10:15;-;-;-;-;0,000;-
29.08.2025 10:15;29.08.2025 10:30;-;-;-;-;0,000;-
29.08.2025 10:30;29.08.2025 10:45;-;-;-;-;0,000;-
29.08.2025 10:45;29.08.2025 11:00;-;-;-;-;0,000;-
29.08.2025 11:00;29.08.2025 11:15;-;-;-;-;0,000;-
29.08.2025 11:15;29.08.2025 11:30;-;-;-;-;0,000;-
29.08.2025 11:30;29.08.2025 11:45;-;-;-;-;0,000;-
29.08.2025 11:45;29.08.2025 12:00;-;-;-;-;0,000;-
29.08.2025 12:00;29.08.2025 12:15;-;-;-;-;0,000;-
29.08.2025 12:15;29.08.2025 12:30;-;-;-;-;0,000;-
29.08.2025 12:30;29.08.2025 12:45;-;-;-;-;0,000;-
29.08.2025 12:45;29.08.2025 13:00;-;-;-;-;0,000;-
29.08.2025 13:00;29.08.2025 13:15;-;-;-;-;0,000;-
29.08.2025 13:15;29.08.2025 13:30;-;-;-;-;0,000;-
29.08.2025 13:30;29.08.2025 13:45;-;-;-;-;0,000;-
29.08.2025 13:45;29.08.2025 14:00;-;-;-;-;0,000;-
29.08.2025 14:00;29.08.2025 14:15;-;-;-;-;0,000;-
29.08.2025 14:15;29.08.2025 14:30;-;-;-;-;0,000;-
29.08.2025 14:30;29.08.2025 14:45;-;-;-;-;0,000;-
29.08.2025 14:45;29.08.2025 15:00;-;-;-;-;0,000;-
29.08.2025 15:00;29.08.2025 15:15;-;-;-;-;0,000;-
29.08.2025 15:15;29.08.2025 15:30;-;-;-;-;0,000;-
29.08.2025 15:30;29.08.2025 15:45;-;-;-;-;0,000;-
29.08.2025 15:45;29.08.2025 16:00;-;-;-;-;0,000;-
29.08.2025 16:00;29.08.2025 16:15;-;-;-;-;0,000;-
29.08.2025 16:15;29.08.2025 16:30;-;-;-;-;0,000;-
