Datum von;Datum bis;Generation_DE Block B [MW] Berechnete Auflösungen;Generation_DE Block A [MW] Berechnete Auflösungen;Generation_DE Block C [MW] Berechnete Auflösungen;Generation_DE Block D [MW] Berechnete Auflösungen;Generation_DE Block E [MW] Berechnete Auflösungen;Generation_DE Bock F [MW] Berechnete Auflösungen
26.08.2025 18:45;26.08.2025 19:00;36,500;0,000;0,000;21,000;21,250;21,000
26.08.2025 19:00;26.08.2025 19:15;39,250;0,000;0,000;41,250;41,250;41,250
26.08.2025 19:15;26.08.2025 19:30;39,250;0,000;0,000;41,250;41,250;41,250
26.08.2025 19:30;26.08.2025 19:45;39,250;0,000;0,000;41,250;41,250;41,250
26.08.2025 19:45;26.08.2025 20:00;39,250;0,000;0,000;41,250;41,250;41,250
26.08.2025 20:00;26.08.2025 20:15;30,250;0,000;0,000;40,000;40,250;40,000
26.08.2025 20:15;26.08.2025 20:30;30,250;0,000;0,000;40,000;40,250;40,000
26.08.2025 20:30;26.08.2025 20:45;30,250;0,000;0,000;40,000;40,250;40,000
26.08.2025 20:45;26.08.2025 21:00;30,250;0,000;0,000;40,000;40,250;40,000
26.08.2025 21:00;26.08.2025 21:15;24,500;0,000;0,000;34,250;28,000;35,500
26.08.2025 21:15;26.08.2025 21:30;24,500;0,000;0,000;34,250;28,000;35,500
26.08.2025 21:30;26.08.2025 21:45;24,500;0,000;0,000;34,250;28,000;35,500
26.08.2025 21:45;26.08.2025 22:00;24,500;0,000;0,000;34,250;28,000;35,500
26.08.2025 22:00;26.08.2025 22:15;26,250;0,000;0,000;19,250;0,000;16,000
26.08.2025 22:15;26.08.2025 22:30;26,250;0,000;0,000;19,250;0,000;16,000
26.08.2025 22:30;26.08.2025 22:45;26,250;0,000;0,000;19,250;0,000;16,000
26.08.2025 22:45;26.08.2025 23:00;26,250;0,000;0,000;19,250;0,000;16,000
26.08.2025 23:00;26.08.2025 23:15;27,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 23:15;26.08.2025 23:30;27,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 23:30;26.08.2025 23:45;27,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 23:45;27.08.2025 00:00;27,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 00:00;27.08.2025 00:15;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 00:15;27.08.2025 00:30;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 00:30;27.08.2025 00:45;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 00:45;27.08.2025 01:00;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 01:00;27.08.2025 01:15;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 01:15;27.08.2025 01:30;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 01:30;27.08.2025 01:45;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 01:45;27.08.2025 02:00;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 02:00;27.08.2025 02:15;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 02:15;27.08.2025 02:30;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 02:30;27.08.2025 02:45;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 02:45;27.08.2025 03:00;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 03:00;27.08.2025 03:15;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 03:15;27.08.2025 03:30;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 03:30;27.08.2025 03:45;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 03:45;27.08.2025 04:00;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 04:00;27.08.2025 04:15;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 04:15;27.08.2025 04:30;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 04:30;27.08.2025 04:45;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 04:45;27.08.2025 05:00;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 05:00;27.08.2025 05:15;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 05:15;27.08.2025 05:30;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 05:30;27.08.2025 05:45;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 05:45;27.08.2025 06:00;0,000;0,000;0,000;0,000;0,000;0,000
27.08.2025 06:00;27.08.2025 06:15;19,750;0,000;0,000;6,250;0,000;0,000
27.08.2025 06:15;27.08.2025 06:30;19,750;0,000;0,000;6,250;0,000;0,000
27.08.2025 06:30;27.08.2025 06:45;19,750;0,000;0,000;6,250;0,000;0,000
27.08.2025 06:45;27.08.2025 07:00;19,750;0,000;0,000;6,250;0,000;0,000
27.08.2025 07:00;27.08.2025 07:15;38,750;0,000;0,000;33,250;28,500;31,750
27.08.2025 07:15;27.08.2025 07:30;38,750;0,000;0,000;33,250;28,500;31,750
27.08.2025 07:30;27.08.2025 07:45;38,750;0,000;0,000;33,250;28,500;31,750
