Datum von;Datum bis;Generation_DE Block N [MW] Berechnete Auflösungen;Generation_DE Block R [MW] Berechnete Auflösungen;Generation_DE Block P [MW] Berechnete Auflösungen;Generation_DE Block Q [MW] Berechnete Auflösungen
27.08.2025 12:00;27.08.2025 12:15;0,000;0,000;27,750;135,500
27.08.2025 12:15;27.08.2025 12:30;0,000;0,000;27,750;135,500
27.08.2025 12:30;27.08.2025 12:45;0,000;0,000;27,750;135,500
27.08.2025 12:45;27.08.2025 13:00;0,000;0,000;27,750;135,500
27.08.2025 13:00;27.08.2025 13:15;0,000;0,000;27,500;131,000
27.08.2025 13:15;27.08.2025 13:30;0,000;0,000;27,500;131,000
27.08.2025 13:30;27.08.2025 13:45;0,000;0,000;27,500;131,000
27.08.2025 13:45;27.08.2025 14:00;0,000;0,000;27,500;131,000
27.08.2025 14:00;27.08.2025 14:15;0,000;0,000;24,250;139,000
27.08.2025 14:15;27.08.2025 14:30;0,000;0,000;24,250;139,000
27.08.2025 14:30;27.08.2025 14:45;0,000;0,000;24,250;139,000
27.08.2025 14:45;27.08.2025 15:00;0,000;0,000;24,250;139,000
27.08.2025 15:00;27.08.2025 15:15;0,000;0,000;25,500;146,250
27.08.2025 15:15;27.08.2025 15:30;0,000;0,000;25,500;146,250
27.08.2025 15:30;27.08.2025 15:45;0,000;0,000;25,500;146,250
27.08.2025 15:45;27.08.2025 16:00;0,000;0,000;25,500;146,250
27.08.2025 16:00;27.08.2025 16:15;0,000;0,000;32,750;194,750
27.08.2025 16:15;27.08.2025 16:30;0,000;0,000;32,750;194,750
27.08.2025 16:30;27.08.2025 16:45;0,000;0,000;32,750;194,750
27.08.2025 16:45;27.08.2025 17:00;0,000;0,000;32,750;194,750
27.08.2025 17:00;27.08.2025 17:15;0,000;0,000;32,000;200,500
27.08.2025 17:15;27.08.2025 17:30;0,000;0,000;32,000;200,500
27.08.2025 17:30;27.08.2025 17:45;0,000;0,000;32,000;200,500
27.08.2025 17:45;27.08.2025 18:00;0,000;0,000;32,000;200,500
27.08.2025 18:00;27.08.2025 18:15;0,000;0,000;32,000;199,000
27.08.2025 18:15;27.08.2025 18:30;0,000;0,000;32,000;199,000
27.08.2025 18:30;27.08.2025 18:45;0,000;0,000;32,000;199,000
27.08.2025 18:45;27.08.2025 19:00;0,000;0,000;32,000;199,000
27.08.2025 19:00;27.08.2025 19:15;0,000;0,000;37,500;201,250
27.08.2025 19:15;27.08.2025 19:30;0,000;0,000;37,500;201,250
27.08.2025 19:30;27.08.2025 19:45;0,000;0,000;37,500;201,250
27.08.2025 19:45;27.08.2025 20:00;0,000;0,000;37,500;201,250
27.08.2025 20:00;27.08.2025 20:15;0,000;0,000;32,000;201,750
27.08.2025 20:15;27.08.2025 20:30;0,000;0,000;32,000;201,750
27.08.2025 20:30;27.08.2025 20:45;0,000;0,000;32,000;201,750
